NOTTINGHAM FOREST
=================================================================================================================================================
Updated: 2026-08-30 13:54:33
Gameweek: GW2
Players: 34

PLAYER                      POS   PRICE    PTS    BONUS   BPS     DC      xG       xA       xGI      G     A     MIN     OWN      FORM    PPG     
-------------------------------------------------------------------------------------------------------------------------------------------------
Altay Bayındır              GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Karl Darlow                 GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Tom Heaton                  GK    £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Senne Lammens               GK    £5.0m    0      0       0       0       0        0        0        0     0     0       15.3%    0.5     1       
Harry Amass                 DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.2%     0       0       
Diogo Dalot Teixeira        DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       2.4%     0.5     1       
Tyler Fredricson            DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Ayden Heaven                DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.4%     0.5     1       
Harry Maguire               DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       16.5%    0.5     1       
Lisandro Martínez           DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       1.3%     0       0       
Noussair Mazraoui           DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.7%     0.5     1       
Luke Shaw                   DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       19.0%    0.5     1       
Leny Yoro                   DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.6%     0       0       
Matthijs de Ligt            DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Carlos Baleba               MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.2%     0       0       
Bruno Borges Fernandes      MID   £12.0m   0      0       0       0       0        0        0        0     0     0       46.5%    1       2       
Toby Collyer                MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Amad Diallo                 MID   £5.9m    0      0       0       0       0        0        0        0     0     0       0.8%     0       0       
Patrick Dorgu               MID   £5.9m    0      0       0       0       0        0        0        0     0     0       1.1%     0       0       
Jack Fletcher               MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Tyler Fletcher              MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.3%     0       0       
Shea Lacey                  MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0.5     1       
Kobbie Mainoo               MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.9%     0.5     1       
Bendito Mantato             MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.2%     0       0       
Bryan Mbeumo                MID   £8.0m    0      0       0       0       0        0        0        0     0     0       33.9%    1       2       
Mason Mount                 MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Andrey Nascimento dos SantosMID   £5.0m    0      0       0       0       0        0        0        0     0     0       1.0%     1       2       
Marcus Rashford             MID   £7.0m    0      0       0       0       0        0        0        0     0     0       1.6%     0.5     1       
Matheus Santos Carneiro da CunhaMID   £8.0m    0      0       0       0       0        0        0        0     0     0       9.0%     1       2       
Youri Tielemans             MID   £6.0m    0      0       0       0       0        0        0        0     0     0       2.3%     1       2       
Manuel Ugarte Ribeiro       MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Chido Obi                   FWD   £4.5m    0      0       0       0       0        0        0        0     0     0       1.1%     0       0       
Benjamin Sesko              FWD   £7.0m    0      0       0       0       0        0        0        0     0     0       1.9%     0.5     1       
Joshua Zirkzee              FWD   £5.4m    0      0       0       0       0        0        0        0     0     0       0.5%     0       0       
