SUNDERLAND
=================================================================================================================================================
Updated: 2026-09-05 12:10:45
Gameweek: GW3
Players: 29

PLAYER                      POS   PRICE    PTS    BONUS   BPS     DC      xG       xA       xGI      G     A     MIN     OWN      FORM    PPG     
-------------------------------------------------------------------------------------------------------------------------------------------------
Mark Gillespie              GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Lukás Hornícek              GK    £5.0m    1      0       7       0       0        0        0        0     0     39      1.2%     3       3       
Ewen Jaouen                 GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Nick Pope                   GK    £5.0m    0      0       0       0       0        0        0        0     0     0       1.1%     0       0       
Sven Botman                 DEF   £5.0m    0      0       -1      4       0        0        0        0     0     39      0.7%     2.7     2.7     
Dan Burn                    DEF   £4.9m    0      0       0       0       0        0        0        0     0     0       1.1%     0       0       
Amar Dedic                  DEF   £4.5m    0      0       -6      1       0.06     0.01     0.07     0     0     39      3.4%     4       4       
Lewis Hall                  DEF   £5.1m    3      0       9       3       0        0        0        0     1     39      9.8%     5.7     5.7     
Tino Livramento             DEF   £4.9m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Alex Murphy                 DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Fabian Schär                DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.2%     0.3     1       
Leo Shahar                  DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.2%     0       0       
Malick Thiaw                DEF   £5.0m    -2     0       -10     2       0        0        0        0     0     39      2.2%     2.3     2.3     
Joelinton Cássio Apolinário de LiraMID   £5.4m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Aladji Bamba                MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0.3     1       
Harvey Barnes               MID   £6.0m    7      1       23      0       0.05     0        0.05     1     0     39      1.2%     4       4       
Anthony Elanga              MID   £6.1m    0      0       0       2       0        0.04     0.04     0     0     39      10.6%    5.7     5.7     
Nico González Iglesias      MID   £5.5m    1      0       3       5       0        0.01     0.01     0     0     39      0.2%     1       1.5     
Lewis Miley                 MID   £5.5m    1      0       3       2       0        0        0        0     0     39      0.1%     2.3     2.3     
Jacob Murphy                MID   £5.9m    0      0       0       0       0        0        0        0     0     0       0.1%     0.3     0.5     
Jacob Ramsey                MID   £4.9m    0      0       0       0       0        0        0        0     0     0       0.3%     0.3     0.5     
Sean Steur                  MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0.7     1       
Bazoumana Touré             MID   £5.9m    0      0       0       0       0        0        0        0     0     0       0.2%     0.3     1       
Joe Willock                 MID   £5.0m    1      0       7       3       0.02     0        0.02     0     0     39      0.4%     3.3     3.3     
Matias Fernandez-Pardo      FWD   £6.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Sean Neave                  FWD   £4.5m    0      0       0       0       0        0        0        0     0     0       0.8%     0       0       
William Osula               FWD   £5.9m    0      0       0       0       0        0        0        0     0     0       0.5%     1.3     4       
Yoane Wissa                 FWD   £6.1m    1      0       2       1       0        0        0        0     0     39      15.6%    4.3     4.3     
Nick Woltemade              FWD   £5.9m    0      0       0       0       0        0        0        0     0     0       0.9%     1.3     4       
