FULHAM
=================================================================================================================================================
Updated: 2026-09-05 19:32:50
Gameweek: GW3
Players: 28

PLAYER                      POS   PRICE    PTS    BONUS   BPS     DC      xG       xA       xGI      G     A     MIN     OWN      FORM    PPG     
-------------------------------------------------------------------------------------------------------------------------------------------------
Benjamin Lecomte            GK    £4.0m    0      0       0       0       0        0        0        0     0     0       1.2%     0       0       
Bernd Leno                  GK    £4.5m    1      0       8       0       0        0        0        0     0     90      3.1%     2       2       
Alfie McNally               GK    £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
David Affengruber           DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Joachim Andersen            DEF   £5.0m    1      0       6       7       0        0.06     0.06     0     0     90      0.1%     0.7     1       
Calvin Bassey               DEF   £4.5m    1      0       1       3       0        0.04     0.04     0     0     90      0.8%     1       1       
Timothy Castagne            DEF   £4.5m    1      0       -1      6       0.58     0.19     0.77     0     0     90      0.9%     4.3     4.3     
Jorge Cuenca Barreno        DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     1       3       
Luc De Fougerolles          DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Antonee Robinson            DEF   £4.5m    1      0       7       5       0.08     0.1      0.18     0     0     78      1.6%     1.3     1.3     
Ryan Sessegnon              DEF   £4.5m    1      0       3       1       0.08     0.09     0.17     0     0     11      0.4%     1       1       
Kenny Tete                  DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.2%     0       0       
Sander Berge                MID   £5.0m    1      0       9       2       0        0.1      0.1      0     0     28      0.3%     1.7     1.7     
Oscar Bobb                  MID   £5.5m    2      0       17      4       0.26     0.6      0.86     0     0     78      0.3%     2.3     2.3     
Tom Cairney                 MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Shea Charles                MID   £5.0m    4      0       18      12      0        0.09     0.09     0     0     78      0.1%     2       2       
Alex Iwobi                  MID   £5.5m    2      0       15      4       0.04     0.42     0.46     0     0     82      0.8%     2       2       
Josh King                   MID   £5.5m    10     3       40      7       0.41     0.23     0.64     1     0     90      0.8%     6.3     6.3     
Hugo Larsson                MID   £5.0m    1      0       3       1       0.13     0.36     0.49     0     0     11      0.0%     1       1       
Manuel Ángel Morán Ibáñez   MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
César Palacios              MID   £5.5m    8      1       27      0       0.82     0.02     0.84     1     0     61      0.2%     3.7     3.7     
Harrison Reed               MID   £4.5m    0      0       0       0       0        0        0        0     0     0       1.3%     0       0       
Kevin Santos Lopes de MacedoMID   £5.4m    0      0       0       0       0        0        0        0     0     0       0.0%     0.7     1       
Emile Smith Rowe            MID   £5.4m    1      0       3       0       0        0        0        0     0     11      0.3%     0.7     1       
Macauley Zepa               MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.3%     0       0       
Gonzalo García              FWD   £6.0m    2      0       10      7       0.44     0.16     0.6      0     0     90      4.5%     3.3     3.3     
Jonah Kusi-Asare            FWD   £4.5m    0      0       0       0       0        0        0        0     0     0       6.6%     0       0       
Rodrigo Muniz Carvalho      FWD   £5.5m    1      0       5       0       0.31     0        0.31     0     0     7       0.5%     0.7     1       
