LIVERPOOL
=================================================================================================================================================
Updated: 2026-09-04 20:32:21
Gameweek: GW3
Players: 36

PLAYER                      POS   PRICE    PTS    BONUS   BPS     DC      xG       xA       xGI      G     A     MIN     OWN      FORM    PPG     
-------------------------------------------------------------------------------------------------------------------------------------------------
David Button                GK    £4.0m    0      0       0       0       0        0        0        0     0     0       0.5%     0       0       
Alex Palmer                 GK    £4.0m    0      0       0       0       0        0        0        0     0     0       4.3%     0       0       
Kjell Scherpen              GK    £4.5m    2      0       11      0       0        0        0        0     0     72      0.6%     2       2       
Christian Walton            GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.4%     0       0       
Kayne van Oevelen           GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Leif Davis                  DEF   £4.0m    1      0       1       5       0.11     0.11     0.22     0     0     72      5.2%     3       3       
Issa Diop                   DEF   £4.0m    1      0       2       9       0        0        0        0     0     72      15.6%    1.7     1.7     
Darnell Furlong             DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.5%     0.3     1       
Jacob Greaves               DEF   £4.0m    1      0       7       4       0        0.02     0.02     0     0     72      1.3%     0.7     0.7     
Ben Johnson                 DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Cédric Kipré                DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.5%     0       0       
Dara O'Shea                 DEF   £4.0m    1      0       0       7       0        0        0        0     0     72      3.2%     1.7     1.7     
Abdoul Ouattara             DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.9%     0.7     1       
Wes Burns                   MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Jack Clarke                 MID   £5.5m    1      0       3       1       0        0        0        0     0     6       0.2%     2.7     4       
Julio Enciso                MID   £5.5m    1      0       11      5       0.18     0.01     0.19     0     0     72      0.8%     3.7     3.7     
Abdul Fatawu                MID   £5.5m    2      0       14      4       0.03     0.15     0.18     0     0     72      0.2%     2.7     2.7     
Cameron Humphreys           MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Saša Lukić                  MID   £5.0m    2      0       11      2       0        0.01     0.01     0     0     72      0.1%     2.7     2.7     
Daizen Maeda                MID   £5.5m    2      0       9       5       0.03     0        0.03     0     0     65      0.3%     2       2       
Azor Matusiwa               MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Kasey McAteer               MID   £4.5m    0      0       0       0       0        0        0        0     0     0       1.3%     0.7     1       
Anis Mehmeti                MID   £4.9m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Florentino Ibrain Morris LuísMID   £4.9m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Marcelino Núñez             MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     2       3       
Chiedozie Ogbene            MID   £4.9m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Exequiel Palacios           MID   £5.0m    4      0       22      15      0        0.02     0.02     0     0     72      0.0%     2.5     2.5     
Jaden Philogene             MID   £5.4m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Sam Szmodics                MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Jack Taylor                 MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Chuba Akpom                 FWD   £5.0m    0      0       0       0       0        0        0        0     0     0       1.0%     2       3       
Ali Al-Hamadi               FWD   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Emersonn Correia da Silva   FWD   £5.5m    2      0       8       3       0.24     0        0.24     0     0     65      1.6%     4       4       
Zian Flemming               FWD   £5.5m    1      0       3       0       0        0        0        0     0     6       0.0%     1       1       
George Hirst                FWD   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Sindre Walle Egeli          FWD   £4.5m    0      0       0       0       0        0        0        0     0     0       3.3%     0.3     1       
