ARSENAL
=================================================================================================================================================
Updated: 2026-09-20 11:36:10
Gameweek: GW5
Players: 29

PLAYER                      POS   PRICE    PTS    BONUS   BPS     DC      xG       xA       xGI      G     A     MIN     OWN      FORM    PPG     
-------------------------------------------------------------------------------------------------------------------------------------------------
Kepa Arrizabalaga Revuelta  GK    £4.9m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Illan Meslier               GK    £4.9m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
David Raya Martín           GK    £6.0m    1      0       6       0       0        0        0        0     0     90      41.8%    6       6       
Riccardo Calafiori          DEF   £5.8m    1      0       -3      5       0.07     0.03     0.1      0     0     90      50.7%    5.8     5.8     
Piero Hincapié              DEF   £5.3m    0      0       0       0       0        0        0        0     0     0       0.9%     0.4     1       
Ezri Konsa Ngoyo            DEF   £4.6m    1      0       2       4       0.23     0.01     0.24     0     0     90      19.4%    2.4     3       
Cristhian Mosquera          DEF   £5.3m    0      0       0       0       0        0        0        0     0     0       1.7%     2.4     6       
William Saliba              DEF   £5.9m    0      0       0       0       0        0        0        0     0     0       0.2%     0       0       
Jurriën Timber              DEF   £6.5m    0      0       -6      2       0        0.02     0.02     0     0     59      0.3%     0.2     0.5     
Benjamin White              DEF   £5.5m    0      0       0       0       0        0        0        0     0     0       5.4%     4.2     5.2     
Gabriel dos Santos MagalhãesDEF   £8.0m    1      0       6       9       0        0.14     0.14     0     0     90      23.0%    5       5       
Max Dowman                  MID   £5.3m    1      0       4       0       0        0.08     0.08     0     0     9       0.1%     0.2     1       
Eberechi Eze                MID   £6.3m    1      0       5       0       0        0.02     0.02     0     0     17      1.0%     0.8     1       
Fábio Ferreira Vieira       MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Bruno Guimarães Rodriguez MouraMID   £6.7m    1      0       12      6       0        0.01     0.01     0     0     59      1.8%     1.8     3       
Myles Lewis-Skelly          MID   £5.4m    0      0       0       0       0        0        0        0     0     0       0.6%     1.8     2.2     
Noni Madueke                MID   £6.2m    0      0       0       0       0        0        0        0     0     0       0.2%     0.4     1       
Gabriel Martinelli Silva    MID   £6.3m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Mikel Merino Zazón          MID   £5.8m    1      0       4       4       0        0.13     0.13     0     0     30      0.4%     0.8     0.8     
Reiss Nelson                MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Ethan Nwaneri               MID   £5.4m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Declan Rice                 MID   £7.4m    1      0       13      8       0.02     0.06     0.08     0     0     90      12.3%    4       4       
Bukayo Saka                 MID   £9.5m    2      0       14      2       0.34     0.55     0.89     0     0     80      13.3%    6.4     6.4     
Christos Tzolis             MID   £6.3m    2      0       9       3       0        0.07     0.07     0     0     72      12.9%    3.2     3.2     
Martín Zubimendi Ibáñez     MID   £5.3m    1      0       2       1       0.13     0        0.13     0     0     30      0.6%     1       1       
Martin Ødegaard             MID   £6.8m    2      0       10      2       0.07     0.02     0.09     0     0     72      20.0%    5.8     5.8     
Gabriel Fernando de Jesus   FWD   £5.9m    0      0       0       0       0        0        0        0     0     0       0.2%     0       0       
Viktor Gyökeres             FWD   £7.1m    1      0       5       0       0        0.23     0.23     0     0     17      3.1%     0.4     1       
Kai Havertz                 FWD   £7.6m    2      0       5       3       0.78     0.02     0.8      0     0     90      8.5%     3.8     3.8     
