WOLVERHAMPTON WANDERERS
=================================================================================================================================================
Updated: 2026-09-20 14:36:43
Gameweek: GW5
Players: 30

PLAYER                      POS   PRICE    PTS    BONUS   BPS     DC      xG       xA       xGI      G     A     MIN     OWN      FORM    PPG     
-------------------------------------------------------------------------------------------------------------------------------------------------
Melker Ellborg              GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Anthony Patterson           GK    £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Robin Roefs                 GK    £4.9m    0      0       -7      0       0        0.01     0.01     0     0     71      2.5%     2.2     2.2     
Omar Alderete               DEF   £4.8m    0      0       0       0       0        0        0        0     0     0       0.2%     0.2     1       
Daniel Ballard              DEF   £4.9m    0      0       -6      9       0.01     0        0.01     0     0     71      2.6%     2.4     2.4     
Kevin Danso                 DEF   £5.0m    0      0       -4      7       0.1      0        0.1      0     0     71      0.2%     0.6     1       
Leo Fuhr Hjelde             DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Trai Hume                   DEF   £4.3m    0      0       0       0       0        0        0        0     0     0       3.0%     1.8     3       
Reinildo Mandava            DEF   £4.4m    0      0       0       0       0        0        0        0     0     0       0.3%     1.4     1.8     
Arthur Masuaku              DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Thomas Meunier              DEF   £4.5m    3      0       5       4       0        0.38     0.38     0     1     71      0.3%     2.8     2.8     
Nordi Mukiele               DEF   £5.4m    0      0       -1      4       0.05     0.1      0.15     0     0     71      1.9%     2.6     3.2     
Dayann Méthalie             DEF   £4.5m    -1     0       -3      2       0.02     0        0.02     0     0     71      0.0%     -0.2    -1      
Luke O'Nien                 DEF   £3.9m    0      0       0       0       0        0        0        0     0     0       2.4%     0.2     1       
Jenson Seelt                DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Simon Adingra               MID   £4.9m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Jules Ahoka                 MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.2%     0       0       
Nilson Angulo               MID   £5.0m    4      0       12      3       0.56     0.01     0.57     0     1     59      0.1%     3.2     3.2     
Djiamgone Jocelin Ta Bi     MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Habib Diarra                MID   £5.4m    0      0       0       0       0        0        0        0     0     0       0.0%     1       2.5     
Malick Fofana               MID   £5.5m    1      0       5       1       0.12     0        0.12     0     0     11      0.0%     1       1       
Enzo Le Fée                 MID   £5.7m    5      0       29      2       0        0.33     0.33     0     1     71      3.4%     3.6     3.6     
Romaine Mundle              MID   £4.9m    0      0       0       0       0        0        0        0     0     0       0.0%     0.2     1       
Chris Rigg                  MID   £4.9m    0      0       0       0       0        0        0        0     0     0       0.0%     0.4     1       
Noah Sadiki                 MID   £4.9m    2      0       9       3       0.03     0.01     0.04     0     0     67      0.2%     2       2       
Chemsdine Talbi             MID   £5.3m    0      0       0       0       0        0        0        0     0     0       0.1%     0.2     1       
Granit Xhaka                MID   £5.5m    2      0       19      6       0        0.34     0.34     0     0     71      3.7%     4.2     4.2     
Juan Angulo                 FWD   £4.5m    0      0       0       0       0        0        0        0     0     0       0.7%     0       0       
Brian Brobbey               FWD   £5.7m    17     3       92      0       2.55     0.03     2.58     3     0     71      5.6%     4.8     4.8     
Wilson Isidor               FWD   £5.5m    1      0       3       0       0        0        0        0     0     3       1.3%     3       3       
