WOLVERHAMPTON WANDERERS
=================================================================================================================================================
Updated: 2026-09-20 14:08:32
Gameweek: GW5
Players: 30

PLAYER                      POS   PRICE    PTS    BONUS   BPS     DC      xG       xA       xGI      G     A     MIN     OWN      FORM    PPG     
-------------------------------------------------------------------------------------------------------------------------------------------------
Melker Ellborg              GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Anthony Patterson           GK    £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Robin Roefs                 GK    £4.9m    0      0       -9      0       0        0        0        0     0     45      2.5%     2.2     2.2     
Omar Alderete               DEF   £4.8m    0      0       0       0       0        0        0        0     0     0       0.2%     0.2     1       
Daniel Ballard              DEF   £4.9m    0      0       -7      7       0        0        0        0     0     45      2.6%     2.4     2.4     
Kevin Danso                 DEF   £5.0m    0      0       -9      4       0.04     0        0.04     0     0     45      0.2%     0.6     1       
Leo Fuhr Hjelde             DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Trai Hume                   DEF   £4.3m    0      0       0       0       0        0        0        0     0     0       3.0%     1.8     3       
Reinildo Mandava            DEF   £4.4m    0      0       0       0       0        0        0        0     0     0       0.3%     1.4     1.8     
Arthur Masuaku              DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     0       0       
Thomas Meunier              DEF   £4.5m    3      0       5       3       0        0.38     0.38     0     1     45      0.3%     2.8     2.8     
Nordi Mukiele               DEF   £5.4m    0      0       -5      3       0.05     0.08     0.13     0     0     45      1.9%     2.6     3.2     
Dayann Méthalie             DEF   £4.5m    -1     0       -12     1       0.02     0        0.02     0     0     45      0.0%     -0.2    -1      
Luke O'Nien                 DEF   £3.9m    0      0       0       0       0        0        0        0     0     0       2.4%     0.2     1       
Jenson Seelt                DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Simon Adingra               MID   £4.9m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Jules Ahoka                 MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.2%     0       0       
Nilson Angulo               MID   £5.0m    1      0       0       2       0.27     0.01     0.28     0     0     45      0.1%     2.6     2.6     
Djiamgone Jocelin Ta Bi     MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     0       0       
Habib Diarra                MID   £5.4m    0      0       0       0       0        0        0        0     0     0       0.0%     1       2.5     
Malick Fofana               MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     0.7     1       
Enzo Le Fée                 MID   £5.7m    4      0       23      1       0        0.32     0.32     0     1     45      3.4%     3.4     3.4     
Romaine Mundle              MID   £4.9m    0      0       0       0       0        0        0        0     0     0       0.0%     0.2     1       
Chris Rigg                  MID   £4.9m    0      0       0       0       0        0        0        0     0     0       0.0%     0.4     1       
Noah Sadiki                 MID   £4.9m    1      0       3       3       0        0.01     0.01     0     0     45      0.2%     1.8     1.8     
Chemsdine Talbi             MID   £5.3m    0      0       0       0       0        0        0        0     0     0       0.1%     0.2     1       
Granit Xhaka                MID   £5.5m    1      0       2       5       0        0.01     0.01     0     0     45      3.7%     4       4       
Juan Angulo                 FWD   £4.5m    0      0       0       0       0        0        0        0     0     0       0.7%     0       0       
Brian Brobbey               FWD   £5.7m    12     3       61      0       1.59     0.02     1.61     2     0     45      5.4%     3.8     3.8     
Wilson Isidor               FWD   £5.5m    0      0       0       0       0        0        0        0     0     0       1.3%     2.8     3.5     
